date,open,high,low,close,volume
1/15/2010,73.5453,74.0243,73.0217,73.406,4949330
1/19/2010,73.3224,74.7819,73.2835,74.7206,8108386
1/20/2010,72.6707,73.055,71.8296,72.5537,8854941
1/21/2010,72.6762,72.7988,71.3338,71.8574,5598525
1/22/2010,71.6736,71.7961,69.8354,69.9078,5878202
1/25/2010,70.3701,70.6821,70.0247,70.2531,3343579
1/26/2010,70.1418,71.1612,69.8577,70.0471,4157441
1/27/2010,70.086,70.721,69.6515,70.3701,5080307
1/28/2010,70.7601,70.7656,68.5431,68.933,5606451
1/29/2010,69.2505,69.6293,67.9025,68.1754,6742053
2/1/2010,68.6434,69.6015,68.3927,69.4455,4220135
2/2/2010,69.5123,70.0805,69.0444,69.9245,3437622
2/3/2010,69.7184,70.2253,69.6682,69.9969,2433819
2/4/2010,69.7351,69.8744,68.4595,68.5152,5317858
2/5/2010,68.5375,68.9163,67.8635,68.8049,5020765
2/8/2010,68.9056,68.9448,68.1167,68.195,3346832
2/9/2010,68.6259,69.4932,68.5196,68.9392,3537630
2/10/2010,68.788,69.1853,68.3796,68.7153,3054549
2/11/2010,68.5866,69.4931,68.2957,69.2301,2978407
2/12/2010,68.8272,69.4091,68.0438,69.3811,4692464
2/16/2010,69.8904,70.0694,69.4427,70.0694,3966509
2/17/2010,70.2205,70.7968,70.0582,70.6849,3410567
2/18/2010,70.573,71.6193,70.5003,71.513,3234110
2/19/2010,71.2556,71.6529,70.9871,71.1661,3688978
2/22/2010,71.2276,71.3003,70.6737,70.9758,2228743
2/23/2010,70.7688,71.429,70.5002,70.7576,2687472
2/24/2010,71.071,71.7704,70.9535,71.3899,2798733
2/25/2010,70.5282,71.194,70.2596,71.0989,3311831
2/26/2010,71.0654,71.6193,70.9144,71.1493,2800020
3/1/2010,71.3395,72.0837,71.3227,71.9382,2679162
3/2/2010,72.0109,72.2291,71.1324,71.2947,3519364
3/3/2010,71.4682,71.6305,70.8807,70.9926,3739835
3/4/2010,71.0989,71.0989,70.2037,70.9031,3530488
3/5/2010,71.1548,71.3675,71.0821,71.1996,3593635
3/8/2010,71.0934,71.3396,70.7017,70.7297,3628229
3/9/2010,70.6513,70.6624,70.0526,70.2484,4406332
3/10/2010,70.4946,70.7016,70.0582,70.2876,4047801
3/11/2010,70.3379,71.5129,70.3379,71.3954,4636572
3/12/2010,71.5689,71.8263,71.3451,71.5857,3025521
3/15/2010,71.2835,71.8095,71.2164,71.5241,2632339
3/16/2010,71.6193,72.1117,71.3116,71.9942,3590537
3/17/2010,72.1229,72.1396,71.2612,71.485,3715489
3/18/2010,71.3171,72.0389,71.3115,71.8319,2899631
3/19/2010,71.457,72.1396,70.9366,71.457,6288248
3/22/2010,71.1213,71.8375,70.8192,71.6081,3307853
3/23/2010,71.5857,72.4194,71.4178,72.3858,3498998
3/24/2010,71.9718,72.7103,71.8822,71.9158,3903298
3/25/2010,72.3802,73.1468,72.2516,72.3131,4449878
3/26/2010,72.1397,72.6153,72.0222,72.3243,3248683
3/29/2010,72.3467,72.7104,71.7648,71.9494,2717380
3/30/2010,72.1228,72.2515,71.7591,72.0501,2005465
3/31/2010,71.7479,72.0389,71.4234,71.7591,2870600
4/1/2010,72.1508,72.3522,71.3674,71.7591,2914904
4/5/2010,71.832,72.6265,71.6977,72.3747,2410528
4/6/2010,71.9997,72.3466,71.6472,72.1396,2297920
4/7/2010,71.9158,72.3298,71.6248,71.8878,3018203
4/8/2010,71.6417,71.748,71.1717,71.4011,3515623
4/9/2010,71.5521,72.106,71.1269,72.0445,3034651
4/12/2010,71.9382,72.1564,71.7536,71.8207,2336548
4/13/2010,71.7648,72.4195,71.5298,72.1956,3990973
4/14/2010,72.5872,73.5328,72.4361,73.4377,5001545
4/15/2010,73.0349,73.3761,72.8446,73.2363,3760495
4/16/2010,73.1188,73.9525,72.8782,73.0908,5587043
4/19/2010,72.951,74.0141,72.951,73.9861,6644912
4/20/2010,72.2907,72.923,71.7648,72.5649,8905669
4/21/2010,72.6656,72.8894,71.899,72.1732,4424125
4/22/2010,71.9773,72.3802,71.4906,72.2515,3522408
4/23/2010,72.2235,72.7942,72.0165,72.7327,3627054
4/26/2010,72.6041,73.3203,72.481,73.1468,3093354
4/27/2010,72.6824,73.8574,72.0166,72.0781,6389150
4/28/2010,72.4026,73.0013,72.1956,72.7943,4168425
4/29/2010,73.0461,73.4153,72.8222,72.9957,3386862
4/30/2010,72.9789,73.0964,72.0893,72.1788,3667672
5/3/2010,72.397,72.8166,72.0669,72.5145,2921695
5/4/2010,72.1172,72.1396,70.8191,71.6864,4848909
5/5/2010,71.1269,71.7479,70.987,71.3171,3554188
5/6/2010,71.0247,71.947,65.2376,69.6918,7746726
5/7/2010,69.3769,69.9562,67.4873,68.6683,6226658
5/10/2010,71.0134,71.2384,70.3329,71.0134,4979002
5/11/2010,70.4173,72.2226,70.3836,71.3622,3823068
5/12/2010,71.514,74.714,71.4296,74.6184,9781004
5/13/2010,73.6342,74.8546,73.5892,73.9435,6175474
5/14/2010,73.7073,74.0504,72.7794,73.7804,5835638
5/17/2010,73.4936,74.101,72.38,73.3586,5249311
5/18/2010,73.8198,74.2304,73.055,73.0831,5488504
5/19/2010,72.7568,73.3923,71.8851,72.47,5099832
5/20/2010,71.5477,71.9639,69.5568,69.6243,7751254
5/21/2010,68.702,70.6423,68.2746,70.5354,7435359
5/24/2010,70.4454,70.8729,69.7593,69.9899,4040549
5/25/2010,68.314,70.2711,68.314,70.0293,5585450
5/26/2010,70.2374,70.8279,69.1744,69.3038,5343320
5/27/2010,70.3273,71.0809,70.1698,71.0809,4544865
5/28/2010,70.839,71.019,69.8999,70.4454,4366033
6/1/2010,70.1248,71.3565,69.8493,69.928,4197495
6/2/2010,70.2149,71.7052,69.9337,71.6546,4532750
6/3/2010,71.8458,72.1101,71.1203,71.9639,3909190
6/4/2010,71.0697,71.4803,70.1136,70.4567,5688042
6/7/2010,70.6197,70.7829,69.8099,69.8099,4089255
6/8/2010,69.8831,69.9956,69.0732,69.5794,4940949
6/9/2010,70.2035,70.7715,69.5005,69.6805,4585805
6/10/2010,70.856,72.1101,70.7491,71.8064,4400035
6/11/2010,71.2721,72.4362,71.109,72.2394,3423810
6/14/2010,72.2675,73.0943,72.2619,72.2675,3972544
6/15/2010,72.5094,73.0831,72.1945,72.9931,3913426
6/16/2010,72.1776,73.4936,72.1776,73.308,3765476
6/17/2010,73.1505,73.6904,73.0324,73.6623,3277216
6/18/2010,73.6848,73.8141,73.1843,73.1955,5636388
6/21/2010,73.9097,74.2022,73.2349,73.4767,4034194
6/22/2010,73.3193,73.9379,72.5881,72.7175,3547348
6/23/2010,72.6893,73.9379,72.5994,73.173,4033017
6/24/2010,72.8693,72.9593,71.8176,72.0932,3273980
6/25/2010,72.1776,72.605,71.4915,71.4915,6129945
6/28/2010,71.7895,72.8131,71.5477,72.5375,3726708
6/29/2010,71.6208,72.2113,69.8043,70.3498,5515677
6/30/2010,70.2036,70.423,69.1745,69.4444,4716701
7/1/2010,69.4837,69.8549,68.3926,68.9326,5730925
7/2/2010,69.3375,69.3375,67.8303,68.5333,3796949
7/6/2010,69.5006,70.0911,68.7076,69.4331,3734709
7/7/2010,69.4388,71.4915,69.4388,71.424,4170967
7/8/2010,71.6321,72.0707,71.2778,71.9695,3199742
7/9/2010,71.9302,72.0989,71.5871,71.9639,2293052
7/12/2010,71.6321,72.4532,71.514,72.3632,2474767
7/13/2010,72.5319,73.6623,72.3744,73.3811,3934130
7/14/2010,72.7287,74.011,72.6275,73.5161,3886776
7/15/2010,73.0381,73.6286,72.8581,73.5161,3639470
7/16/2010,73.0886,73.1955,71.902,72.0032,4119549
7/19/2010,72.3632,73.3249,72.1945,72.9931,4934711
7/20/2010,69.1575,71.1765,69.135,71.1709,9610698
7/21/2010,71.109,71.1427,70.0854,70.451,5068183
7/22/2010,71.0415,71.8626,70.8897,71.6883,4064313
7/23/2010,71.5927,72.4363,71.424,72.2001,2987203
7/26/2010,72.0876,72.2282,71.5028,72.217,3044207
7/27/2010,72.4251,72.6444,71.9245,72.3407,2734368
7/28/2010,72.3632,72.7456,71.9189,72.2282,2499415
7/29/2010,72.5826,72.83,71.5028,71.9977,5290967
7/30/2010,71.6658,72.5375,71.4464,72.2113,3541934
8/2/2010,72.6894,73.7861,72.6894,73.5386,3786948
8/3/2010,73.128,73.696,72.7343,73.3192,2995319
8/4/2010,73.3699,73.9548,73.0268,73.8254,2686894
8/5/2010,73.5217,74.2247,73.4092,74.1403,2659303
8/6/2010,73.705,73.7447,72.7726,73.5525,3627587
8/9/2010,73.9199,74.796,73.6995,74.6038,3624930
8/10/2010,74.1404,74.8808,73.9087,74.5134,3234753
8/11/2010,73.8635,73.8635,73.1683,73.3774,3733945
8/12/2010,72.1678,72.7839,72.0718,72.5126,3034045
8/13/2010,72.3205,72.6031,71.9644,72.2696,2760449
8/16/2010,72.0435,72.473,71.7552,72.2131,2370152
8/17/2010,72.8122,73.3887,72.2866,72.5974,2541063
8/18/2010,72.8348,73.5865,72.2301,73.1287,2886844
8/19/2010,72.7218,73.2418,72.3544,72.8518,3193786
8/20/2010,72.75,72.897,71.7553,72.0605,3692680
8/23/2010,72.1,72.36,71.4613,71.4783,2385049
8/24/2010,70.7662,71.224,70.4045,70.591,3323132
8/25/2010,70.4045,70.9866,70.0823,70.8001,3094996
8/26/2010,71.0883,71.0883,69.3928,69.3928,4579622
8/27/2010,69.9862,70.5345,69.1893,70.4949,3673700
8/30/2010,70.6928,70.8001,69.7432,69.7432,2130606
8/31/2010,69.6923,70.0767,69.1102,69.5906,3324904
9/1/2010,70.8227,71.3879,70.3762,71.0827,3324255
9/2/2010,71.2296,71.3427,70.4497,70.6701,3016960
9/3/2010,71.3371,72.117,71.1562,72.1057,3040372
9/7/2010,71.7723,71.9814,71.1449,71.1845,2573579
9/8/2010,71.224,71.5066,70.8679,71.2579,2647001
9/9/2010,71.9305,72.1001,71.2975,71.4162,2031704
9/10/2010,71.7722,72.507,71.3596,72.3374,2612240
9/13/2010,72.6991,73.4734,72.637,73.253,3116279
9/14/2010,72.5861,73.4282,72.5861,72.8235,2867512
9/15/2010,72.7105,73.4508,72.6482,73.1513,2815486
9/16/2010,73.0213,73.4452,72.7952,73.2869,2769671
9/17/2010,73.4282,73.8125,73.3039,73.5808,6146718
9/20/2010,73.6091,74.6547,73.5356,74.4851,4224266
9/21/2010,74.293,75.0559,73.9143,74.5925,3114270
9/22/2010,74.3834,74.9317,74.2647,74.926,2910019
9/23/2010,74.276,75.0447,74.163,74.4173,2304888
9/24/2010,74.8411,75.8189,74.7959,75.7963,4210609
9/27/2010,75.4572,76.2993,75.4572,76.1015,3638939
9/28/2010,76.1128,76.3784,75.5702,76.2371,4422780
9/29/2010,75.9602,76.7515,75.9263,76.5706,3045278
9/30/2010,76.5819,76.9267,75.5477,75.8133,3798796
10/1/2010,76.5876,77.0228,76.3502,76.6611,3323132
10/4/2010,76.4293,76.8193,75.9545,76.4406,2400125
10/5/2010,76.9662,77.9383,76.9324,77.8027,3666784
10/6/2010,77.3619,77.9723,77.3337,77.9045,2827609
10/7/2010,77.9497,78.4922,77.7236,78.4018,3807663
10/8/2010,78.221,78.6109,78.0288,78.4753,2684424
10/11/2010,78.4414,79.0914,78.3566,78.9331,2367257
10/12/2010,78.221,79.1196,78.1475,79.0405,3332653
10/13/2010,79.0743,79.9616,79.0008,79.3343,5193086
10/14/2010,79.323,79.973,78.95,79.973,3341989
10/15/2010,80.3121,80.3121,79.4304,79.7243,4268544
10/18/2010,79.6339,80.8377,79.6,80.7247,6102559
10/19/2010,77.5992,78.7522,77.2602,78.0119,8370558
10/20/2010,78.1531,79.0517,78.0684,78.5996,4106030
10/21/2010,79.0179,79.4022,78.221,79.0292,3677842
10/22/2010,79.21,79.5491,78.82,78.9387,2426965
10/25/2010,79.3627,79.9165,79.0179,79.0348,2879041
10/26/2010,78.724,80.2556,78.2944,79.5039,4331624
10/27/2010,78.8539,80.0125,78.56,79.9334,3822145
10/28/2010,80.1652,80.2273,79.3626,79.6339,3240605
10/29/2010,79.6339,81.386,79.5491,81.1599,4989134
11/1/2010,81.1825,81.5329,80.4364,81.0016,3354701
11/2/2010,81.3012,81.7872,81.222,81.2955,2735027
11/3/2010,81.5215,81.6459,80.6116,81.482,3063545
11/4/2010,81.8494,82.9911,81.7872,82.9628,3915079
11/5/2010,82.4824,83.0419,82.3298,83.0363,2953410
11/8/2010,82.514,83.2123,82.4572,83.1441,2648194
11/9/2010,83.2804,83.7516,82.673,82.9625,3385049
11/10/2010,82.9342,83.3315,82.673,83.1953,3071165
11/11/2010,82.145,82.5991,81.3786,82.5594,2821882
11/12/2010,82.0825,82.7524,81.4921,81.6,2809591
11/15/2010,81.6851,82.1733,81.3332,81.5432,2272908
11/16/2010,81.1402,81.3957,80.1467,80.7485,3765976
11/17/2010,80.8905,80.8905,80.266,80.5839,2841896
11/18/2010,81.2026,82.3096,81.038,81.952,2515480
11/19/2010,81.9633,82.514,81.7419,82.3437,2978470
11/22/2010,81.7476,82.5594,81.4978,82.5367,2215310
11/23/2010,81.8838,82.0485,80.7996,81.2821,2713870
11/24/2010,81.7193,83.1328,81.6455,82.7752,2894270
11/26/2010,82.4857,82.4857,81.5036,81.6909,1235889
11/29/2010,81.4808,81.5603,80.3285,81.1175,2992959
11/30/2010,80.7485,81.0437,80.2035,80.3057,4557341
12/1/2010,81.5262,82.3891,81.4695,81.9804,4051418
12/2/2010,81.935,82.7979,81.9179,82.4175,3191112
12/3/2010,81.8895,82.7013,81.8895,82.531,2203374
12/6/2010,82.0542,82.8093,82.0429,82.3097,1972505
12/7/2010,82.8944,83.0533,81.6738,81.759,2867251
