date,open,high,low,close,volume
1998-01-29,24.0147,24.5872,24.0147,24.3087,2285918
1998-01-30,24.3396,24.6491,24.2622,24.4479,1502033
1998-02-02,24.7574,25.067,24.7574,24.8967,1780475
1998-02-03,24.7884,24.8194,24.4325,24.6027,1857074
1998-02-04,24.5408,24.711,24.2777,24.3396,2218944
1998-02-05,24.5408,24.6491,24.3551,24.6491,1956048
1998-02-06,24.5902,24.7142,24.2491,24.3111,2118687
1998-02-09,24.3422,24.7142,24.3111,24.3111,1789610
1998-02-10,24.3266,25.4119,24.1871,25.0243,4237006
1998-02-11,25.2104,25.6135,25.1794,25.474,2183561
1998-02-12,25.2725,25.6136,25.1949,25.5205,1882197
1998-02-13,25.4739,25.7065,25.3964,25.3964,1164615
1998-02-17,25.567,25.722,25.1794,25.3034,1988579
1998-02-18,25.3035,25.7065,25.1329,25.4895,1687842
1998-02-19,25.5515,25.9547,25.4895,25.4895,2219473
1998-02-20,25.5515,25.66,25.1948,25.4584,1946543
1998-02-23,25.6601,25.7841,25.505,25.5205,1362813
1998-02-24,25.4585,25.5205,25.2414,25.4275,1334995
1998-02-25,25.4429,26.1096,25.4274,26.1096,1997037
1998-02-26,25.9856,26.2648,25.8771,26.1717,1668381
1998-02-27,26.0011,26.2027,25.7685,25.9081,1528465
1998-03-02,25.8461,25.9391,24.8072,25.2879,1811302
1998-03-03,24.8072,25.4275,24.7607,25.3344,2060405
1998-03-04,25.3035,25.6291,24.5592,24.5592,1560539
1998-03-05,24.8538,24.9003,24.3886,24.5437,2782705
1998-03-06,24.5901,24.7607,24.3421,24.3421,2701274
1998-03-09,24.0941,24.3731,23.7839,23.846,3354712
1998-03-10,24.1561,24.3576,23.9855,24.1871,2162593
1998-03-11,24.2801,24.7763,24.1716,24.5902,1766256
1998-03-12,24.6057,24.9623,24.3576,24.8693,1531837
1998-03-13,25.0243,25.0863,24.5591,24.7142,1518135
1998-03-16,24.7298,25.1484,24.6212,25.1174,1775495
1998-03-17,25.1328,25.2568,24.6987,25.0243,1860550
1998-03-18,24.9624,25.381,24.9468,25.1949,1865538
1998-03-19,25.2259,25.5515,25.1639,25.5205,1341535
1998-03-20,25.5515,25.6135,25.1639,25.3189,2131818
1998-03-23,25.1949,25.6445,25.1484,25.1484,1607142
1998-03-24,25.3654,25.722,25.3344,25.6755,1247442
1998-03-25,26.0476,26.4662,26.0166,26.2957,3500543
1998-03-26,26.2647,26.4507,26.0476,26.0631,1482534
1998-03-27,26.1097,26.1717,25.7686,25.8926,1469045
1998-03-30,25.8305,26.0166,25.4275,25.6135,993149
1998-03-31,25.7995,26.0321,25.6445,25.7685,1317399
1998-04-01,25.7685,26.0167,25.629,25.9081,1369972
1998-04-02,25.8771,26.4662,25.7996,26.2492,1868960
1998-04-03,26.2027,26.3888,25.7841,25.9701,1612019
1998-04-06,26.3577,26.4197,26.0476,26.2957,1909439
1998-04-07,26.2337,26.2492,25.6911,25.9701,1413255
1998-04-08,25.9856,26.2027,25.7375,25.9236,1397893
1998-04-09,26.2026,26.4197,26.1251,26.3887,1572470
1998-04-13,26.4353,26.7454,25.8461,25.8461,2119987
1998-04-14,26.0476,26.3577,25.9546,26.3577,1237997
1998-04-15,26.5438,27.2415,26.4197,27.226,2362394
1998-04-16,27.1329,27.288,26.6988,26.7453,1754421
1998-04-17,26.6523,26.7764,26.4197,26.7298,1636825
1998-04-20,26.7764,27.5981,26.5903,27.5826,2555556
1998-04-21,28.2803,29.3966,28.1873,29.2726,6384137
1998-04-22,29.2726,29.7687,28.4353,28.4663,3397575
1998-04-23,28.4043,29.1795,28.3113,29.1485,2480043
1998-04-24,28.9624,29.257,28.8384,29.1175,2053139
1998-04-27,28.8384,28.9315,28.3734,28.6059,2230267
1998-04-28,28.8074,29.3966,28.6058,28.6989,2691936
1998-04-29,28.6989,28.9935,28.4354,28.6679,1766515
1998-04-30,28.7919,29.133,28.6523,28.7454,1846227
1998-05-01,28.761,29.1175,28.6524,28.9935,1285225
1998-05-04,29.0555,29.4897,28.9315,28.9315,1378640
1998-05-05,28.947,29.3346,28.947,29.226,1399447
1998-05-06,29.3274,29.5603,29.1409,29.1409,1654705
1998-05-07,29.2031,29.2653,28.8614,29.1099,1380127
1998-05-08,29.0633,29.8244,29.0477,29.8244,2019130
1998-05-11,29.871,30.5079,29.405,29.6535,2480835
1998-05-12,29.3895,29.8244,29.1565,29.7312,1962145
1998-05-13,29.8866,30.3836,29.8555,30.2904,2060674
1998-05-14,30.6632,32.1389,30.5389,31.269,5474223
1998-05-15,31.2224,31.7506,30.8497,31.0516,2911087
1998-05-18,31.0049,31.2535,30.6787,30.9739,1833045
1998-05-19,31.2225,31.5642,31.005,31.0671,2026724
1998-05-20,31.1292,31.269,30.4613,30.6943,1567148
1998-05-21,30.6943,30.8652,30.306,30.7254,1517027
1998-05-22,30.7253,30.7253,30.1039,30.3059,1039096
1998-05-26,30.4147,30.57,30.0263,30.0729,1807149
1998-05-27,29.6535,30.1972,29.4671,29.8865,2609673
1998-05-28,29.8866,30.2283,29.7779,29.84,1545364
1998-05-29,29.9642,30.0574,29.172,29.203,1484631
1998-06-01,29.172,29.405,28.4885,29.1254,1899699
1998-06-02,29.1254,29.2497,28.5351,28.7215,2023236
1998-06-03,28.8302,28.9856,28.3021,28.3021,1529086
1998-06-04,28.3953,28.8769,28.3953,28.8458,1577131
1998-06-05,29.0166,29.5759,28.9701,29.5448,2143551
1998-06-08,29.5137,29.8244,29.4205,29.5292,974884
1998-06-09,29.5759,29.7156,29.2807,29.638,972857
1998-06-10,29.5138,29.7312,29.0477,29.1409,1705971
1998-06-11,29.203,29.3428,28.7681,28.8302,1392706
1998-06-12,28.7992,29.0322,28.3332,28.8924,2090520
1998-06-15,28.4886,28.6905,27.8672,27.8983,2185671
1998-06-16,27.8051,27.8051,26.6245,27.3391,4582799
1998-06-17,27.5876,27.8827,27.3545,27.5876,2923408
1998-06-18,27.0905,27.1216,26.7488,27.0439,2204904
1998-06-19,27.0284,27.1527,26.3449,26.376,2539383
1998-06-22,26.407,27.2148,26.3914,26.873,2223724
1998-06-23,27.3391,27.9138,27.3235,27.774,2100138
1998-06-24,27.805,27.8671,27.3545,27.8361,1575414
1998-06-25,27.9603,28.504,27.8361,27.9448,1657458
1998-06-26,27.9292,28.1933,27.9138,28.0846,850826
1998-06-29,28.3643,28.5351,28.2245,28.3643,1135859
1998-06-30,28.3643,28.9079,28.2089,28.5351,2264852
1998-07-01,28.8302,29.0633,28.7059,29.0166,1646332
1998-07-02,28.9701,28.9856,28.4575,28.6283,1674099
1998-07-06,28.5817,28.5973,28.1623,28.2555,1663389
1998-07-07,28.24,28.4574,28.0225,28.3021,1182807
1998-07-08,28.271,28.7215,28.24,28.5817,1174125
1998-07-09,28.5196,29.4516,28.4885,29.0943,1658343
1998-07-10,29.3895,29.638,29.172,29.4516,1596263
1998-07-13,29.4517,29.8244,29.3895,29.6691,1216554
1998-07-14,29.7623,29.9797,29.5759,29.7312,1179533
1998-07-15,29.6381,29.8244,29.0788,29.0788,1329901
1998-07-16,29.1098,29.5603,28.8302,29.4205,1133517
1998-07-17,29.4671,29.9176,29.4516,29.871,1647374
1998-07-20,30.073,30.57,29.9021,30.3215,2334111
1998-07-21,31.8749,32.5583,31.7506,31.8438,6399725
1998-07-22,31.3156,31.9214,30.9428,31.6729,3146098
1998-07-23,31.6108,32.0612,30.7408,30.7875,2159357
1998-07-24,31.2846,31.3002,30.4458,30.8807,1494618
1998-07-27,30.7564,31.2534,30.3836,31.1913,1909577
1998-07-28,31.3777,31.5486,30.8651,31.1758,2207293
1998-07-29,31.7971,31.9214,31.5796,31.7816,2090048
1998-07-30,31.968,33.2418,31.9214,33.1486,2847550
1998-07-31,33.1175,34.3291,32.869,32.9311,3428475
1998-08-03,33.3038,33.5213,32.8845,32.9932,2172249
1998-08-04,33.3039,33.366,31.5175,31.5175,3477815
1998-08-05,31.5642,32.1234,30.8186,31.9991,3407471
1998-08-06,31.8204,32.5984,31.7115,32.3028,2136073
1998-08-07,32.8008,33.4231,32.1472,32.1472,3002733
1998-08-10,32.0849,32.3961,32.0538,32.3339,1576912
1998-08-11,31.4003,31.9916,31.198,31.9916,2663878
1998-08-12,32.0539,32.2562,31.7582,31.8672,1917849
1998-08-13,31.7582,31.9605,31.3692,31.4159,1576443
1998-08-14,31.5248,31.7115,30.8713,31.2136,1639516
1998-08-17,31.1514,31.3692,30.9335,31.1514,1654934
1998-08-18,31.6182,32.2406,31.6182,32.085,1974933
1998-08-19,32.2406,32.614,32.1317,32.3495,1859931
1998-08-20,32.2406,32.3807,31.7427,31.8827,1583476
1998-08-21,31.7427,31.8671,30.9957,31.836,2198104
